show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,avg_rating,num_reviews,audience_score,show_id_minmax,release_year_minmax,avg_rating_minmax,audience_score_minmax,show_id_zscore,release_year_zscore,avg_rating_zscore,audience_score_zscore
80125979,Movie,#realityhigh,fernando lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",USA,"September 8, 2017",2017,TV-14,99 min,Comedies,"when nerdy high schooler dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.",4.61,362,99.73,0.9010395418257859,0.7857142857142776,0.9025000000000001,0.9974994998999801,0.3371959010437506,0.40645468801623386,1.363739563243119,1.7337646435919414
81087095,Movie,#roxy,michael kennedy,"Jake Short, Sarah Fisher, Booboo Stewart, Danny Trejo, Pippa Mackie, Jake Smith, Patricia Zentilli, Carter Thicke",Canada,"April 10, 2019",2018,TV-14,105 min,"Comedies, Romantic Movies",a teenage hacker with a huge nose helps a cool kid woo a girl that he’s secretly in love with.,3.22,551,53.71,0.9867457636942856,0.8571428571428612,0.555,0.5372074414882977,0.5973372490280466,0.7286030618885186,0.16782695778177692,0.13622676792936836
80147908,Movie,#rucker50,robert mccullough jr.,,USA,"December 1, 2016",2016,TV-PG,56 min,"Documentaries, Sports Movies",this documentary celebrates the 50th anniversary of the harlem sports program that has inspired countless city kids to become pro basketball players.,3.46,965,9.41,0.9029950307983494,0.7142857142857224,0.615,0.09411882376475296,0.34313133404033747,0.08430631414394897,0.3743154651995624,-1.4016030428453379
81092768,Movie,#selfie,cristina jacob,"Flavia Hojda, Crina Semciuc, Olimpia Melinte, Levent Sali, Vlad Logigan, Alex Calin, Alina Chivulescu, Razvan Vasilescu",Romania,"June 1, 2019",2014,TV-MA,125 min,"Comedies, Dramas, International Movies","two days before their final exams, three teen girls make a seaside getaway to end their adolescence with a bang.",2.2,200,17.1,0.9872516458111793,0.5714285714285836,0.30000000000000004,0.1710342068413683,0.5988727368017543,-0.5599904336006207,-0.7097491987438123,-1.1346524504106315
81092766,Movie,#selfie 69,cristina jacob,"Maia Morgenstern, Olimpia Melinte, Crina Semciuc, Flavia Hojda, Maria Dinulescu, Alex Calin, Vlad Logigan, Levent Sali, Silvia Busuioc, Mihaela Mihut",Romania,"June 1, 2019",2016,TV-MA,119 min,"Comedies, Dramas, International Movies","after a painful breakup, a trio of party-loving friends makes a bet: who can get married in three days.",4.61,436,50.77,0.9872514674638788,0.7142857142857224,0.9025000000000001,0.5078015603120625,0.598872195469911,0.08430631414394897,1.363739563243119,0.03416763376057304
80227554,Movie,'89,,"Lee Dixon, Ian Wright, Paul Merson",United Kingdom,"May 16, 2018",2017,TV-PG,87 min,Sports Movies,"mixing old footage with interviews, this is the story of arsenal's improbable win versus liverpool in the final moments of the 1989 championship game.",4.72,641,57.55,0.9100973553324732,0.7857142857142776,0.9299999999999999,0.5756151230246049,0.3646887920387032,0.40645468801623386,1.458380129142937,0.269528494190652
80039644,Movie,(t)error,"lyric r. cabral, david felix sutcliffe",,USA,"June 30, 2016",2015,NR,84 min,Documentaries,this real-life look at fbi counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.,4.94,824,60.51,0.8933407347462898,0.6428571428571388,0.9850000000000001,0.6052210442088418,0.31382795869524716,-0.2378420597283359,1.6476612609425745,0.372281908183725
70306701,Movie,1 chance 2 dance,adam deyoe,"Lexi Giovagnoli, Justin Ray, Rae Latt, Poonam Basu, Teresa Biter, Kalilah Harris, Alexia Dox, Adam Powell, Sean McBride",USA,"July 1, 2017",2014,TV-PG,89 min,"Dramas, Romantic Movies","when an aspiring dancer is uprooted during her senior year of high school, she finds herself torn between two boys – and with one shot at her dream.",1.14,962,20.18,0.02541868143382331,0.5714285714285836,0.034999999999999976,0.20184036807361472,-2.3205480290880365,-0.5599904336006207,-1.6217401065056993,-1.0277333574718936
80119249,Movie,1 mile to you,leif tilden,"Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth, Melanie Lynskey, Thomas Cocquerel, Peter Coyote",USA,"July 7, 2017",2017,TV-14,105 min,"Dramas, Romantic Movies, Sports Movies","after escaping the bus accident that killed his girlfriend, a high school student channels his grief into running, with the help of a new coach.",3.94,417,60.74,0.9004394031607603,0.7857142857142776,0.735,0.6075215043008603,0.33537431939082385,0.40645468801623386,0.7872924800351337,0.3802661261629166
81172729,Movie,10 days in sun city,adze ugah,"Ayo Makun, Adesua Etomi, Richard Mofe-Damijo, Mercy Johnson, Falz, Tuface Idibia, Thenjiwe Moseley, Motlatsi Mafatshe, Celeste Ntuli, Miguel A. Núñez Jr.",South Africa,"October 18, 2019",2017,TV-14,87 min,"Comedies, International Movies, Romantic Movies","after his girlfriend wins the miss nigeria pageant, a young man faces unexpected competition of his own when he joins her on a campaign in south africa.",2.91,934,81.49,0.9943820600450772,0.7857142857142776,0.47750000000000004,0.8150630126025205,0.6205154545654502,0.40645468801623386,-0.09888736429952964,1.100581443850843
